#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,already_in_earlier_list,source_batch
1,ADATA Technology Co Ltd,adata.com,Taiwan,Memory Modules & Gaming SSD,"~1,500",1k-5k,core,"TWSE-listed; revenue ~NT$25B (~$780M, 2024), at the $200M+ gate",XPG gaming sub-brand already sponsors esports; F1 extends performance-hardware halo into motorsport fandom.,yes,P11b
2,Advantest Corporation,advantest.com,Japan,Memory/Storage Chip Test Equipment,"~8,000",5k-10k,core,"Tokyo-listed; revenue ~$4B (FY2024), highly profitable on memory-test demand",Dominant memory/SSD test-equipment maker; precision-measurement brand story aligns with F1's data-precision culture.,yes,P11b
3,ALSO Holding AG,also.com,Switzerland,IT/Storage Distribution at Scale,"~4,000",1k-5k,core,"SIX-listed; revenue >€12B, comfortably clears core gate",Major European IT/storage distributor seeking a pan-European brand-visibility platform; F1's European calendar is a strong fit.,yes,T11
4,Apacer Technology Inc,apacer.com,Taiwan,Industrial Memory & SSD,~700,250-1k,core,"TWSE-listed; revenue ~$250-300M, near $200M gate, decades profitable",Industrial-grade SSD/DRAM supplier to rugged/embedded systems; car-team data-logging hardware is a direct sales angle.,,P11b
5,Astera Labs Inc,asteralabs.com,USA,PCIe/CXL Connectivity Silicon,~700,250-1k,core,"Nasdaq-listed (ALAB); FY2025 revenue ~$853M, market cap tens of billions USD",Fast-growing AI-connectivity chipmaker with capital for brand marketing; F1's high-speed-data theme fits its 'connectivity at scale' pitch.,yes,P11b
6,Bel Fuse Inc,belfuse.com,USA,Interconnect & Power for Data Center/Storage,"~5,000",1k-5k,core,Nasdaq-listed (BELFA/B); revenue ~$600M (2024),Connector/power specialist supplying server and storage backplanes; motorsport connector-reliability marketing angle available.,,P11b
7,Benchmark Electronics Inc,bench.com,USA,EMS for Storage/Server Systems,"~10,000",5k-10k,core,"NYSE-listed (BHE); revenue ~$2.6B, clears core gate",Precision EMS provider for storage/server OEMs seeking brand differentiation in a competitive contract-manufacturing market.,,T11
8,Biwin Storage Technology Co Ltd,biwin.com,China,NAND Flash Modules & SSD,"~2,000",1k-5k,core,"Shenzhen-listed (2024 IPO); revenue >$500M, profitable NAND module maker",Recently IPO'd and expanding overseas; F1 sponsorship would be a fast route to global brand credibility outside China.,,P11b
9,Celestica Inc,celestica.com,Canada,EMS & Rack-Scale Storage/Networking Integration,"~26,000",10k+,core,"TSX/NYSE-listed; revenue ~$9.7B (2024), strong profitability growth on AI/data-center segment",Rack-scale AI/data-center integrator riding a strong stock re-rating; capital available for a headline sponsorship push.,yes,P11b
10,ChangXin Memory Technologies (CXMT),cxmt.com,China,DRAM Manufacturing,"6,000+",5k-10k,core,"China's leading DRAM fab; headcount and multi-fab capex clear the 6,000+ employee gate",Rapidly scaling DRAM maker expanding overseas sales channels; F1 exposure would support brand-building beyond China (geopolitical vetting advised).,,P11b
